;municipio_paciente;Total
1785;UBATUBA;1
1786;UBERABA;382
1787;UBERLANDIA;1
1788;UIBAI;333
1789;UIRAUNA;1
1790;UMARIZAL;6
1791;UMBAUBA;16
1792;UMBUZEIRO;38
1793;UMIRIM;66
1794;UMUARAMA;131
1795;UNA;138
1796;UNIAO;2
1797;UNIAO DOS PALMARES;2
1798;URBANO SANTOS;21
1799;URUCARA;326
1800;URUCUCA;6
1801;URUCUI;2
1802;URUCURITUBA;26767626
1803;URUGUAIANA;2122632
1804;VALE DO ANARI;6
1805;VALENCA;177
1806;VALENCA DO PIAUI;32
1807;VALPARAISO DE GOIAS;626
1808;VARGEM GRANDE DO SUL;2626
1809;VARGINHA;2
1810;VARRE-SAI;132
1811;VARZEA;6
1812;VARZEA ALEGRE;6
1813;VARZEA DA ROCA;381
1814;VARZEA GRANDE;26121
1815;VARZEA PAULISTA;11
1816;VASSOURAS;27
1817;VENANCIO AIRES;61
1818;VENTUROSA;6
1819;VERA;2
1820;VERA CRUZ;2
1821;VERA CRUZ DO OESTE;31
1822;VERANOPOLIS;3
1823;VESPASIANO;331381
1824;VIAMAO;211323122323333223232
1825;VIANA;21
1826;VIANOPOLIS;6
1827;VICENCIA;3
1828;VICENTINA;6610
1829;VICOSA;333810
1830;VICOSA DO CEARA;622
1831;VIDEIRA;2
1832;VIGIA;38
1833;VILA FLORES;6
1834;VILA NOVA DOS MARTIRIOS;3262
1835;VILA VELHA;34636
1836;VILHENA;21321
1837;VINHEDO;226
1838;VIRGINOPOLIS;33
1839;VISEU;16212
1840;VISTA ALEGRE DO ALTO;2
1841;VITORIA;26662
1842;VITORIA DA CONQUISTA;33122323311362
1843;VITORIA DE SANTO ANTAO;21265
1844;VITORIA DO JARI;2322
1845;VITORIA DO XINGU;6
1846;VOLTA REDONDA;233616
1847;VOTORANTIM;666662266
1848;VOTUPORANGA;76221
1849;WALL FERRAZ;66
1850;WENCESLAU GUIMARAES;2
1851;XAMBIOA;22
1852;XANGRI-LA;10
1853;XANXERE;6
1854;XAPURI;22162
1855;XEXEU;7
1856;XINGUARA;2612
1857;XIQUE-XIQUE;226736
1858;ZE DOCA;21
