;municipio_paciente;Total
371;CAMPOS DOS GOYTACAZES;63321621133113387711138638771138171773817
372;CAMPOS NOVOS;2
373;CAMUTANGA;22
374;CANAA DOS CARAJAS;12233
375;CANANEIA;6
376;CANAPOLIS;3
377;CANARANA;33
378;CANAVIEIRAS;66772766167122677766221382138382
379;CANDEAL;1
380;CANDEIAS;361333333
381;CANDEIAS DO JAMARI;1
382;CANDELARIA;3838
383;CANDIDO MENDES;66
384;CANDIDO SALES;3
385;CANGUARETAMA;6
386;CANINDE;26
387;CANINDE DE SAO FRANCISCO;66
388;CANOAS;3110103341
389;CANOINHAS;1
390;CANTA;3
391;CANTAGALO;262
392;CANUDOS;77
393;CANUTAMA;12
394;CAPANEMA;213387
395;CAPAO BONITO;666666
396;CAPAO DA CANOA;12
397;CAPELA;1
398;CAPELA DO ALTO ALEGRE;39
399;CAPELINHA;116
400;CAPIM BRANCO;6
401;CAPIM GROSSO;36
402;CAPINZAL;3
403;CAPINZAL DO NORTE;3
404;CAPITAO DE CAMPOS;1
405;CAPITAO ENEAS;1
406;CAPIVARI;222
407;CAPIVARI DE BAIXO;2
408;CAPOEIRAS;38
409;CARACARAI;236
410;CARACOL;3
411;CARAGUATATUBA;26122
412;CARAI;6
413;CARAPICUIBA;61212222722663266663226212116616626222222122212211226
414;CARATINGA;1
415;CARAUARI;262
416;CARAUBAS;71
417;CARAUBAS DO PIAUI;1
418;CARAVELAS;6238
419;CARBONITA;6
420;CARDEAL DA SILVA;3
421;CARDOSO MOREIRA;1
422;CAREIRO;3362
423;CARIACICA;216661661
424;CARIDADE;10321
425;CARINHANHA;66
426;CARIRA;2
427;CARIRE;721
428;CARIRIACU;333333
429;CARLOS CHAGAS;3
430;CARMO DA CACHOEIRA;1
431;CARMO DO RIO VERDE;1
432;CARMOPOLIS;638383838
433;CARNAIBA;2333
434;CARNAUBAIS;2
435;CARPINA;6
436;CARRAPATEIRA;7
437;CARUARU;31232112
438;CASA NOVA;1212222
439;CASCAVEL;632221386
440;CASIMIRO DE ABREU;313
441;CASSIA;1
442;CASSIA DOS COQUEIROS;2
443;CASTANHAL;32262211162
444;CASTELO;2
445;CASTELO DO PIAUI;6
446;CASTRO;6623
447;CASTRO ALVES;7
448;CATAGUASES;38
449;CATALAO;32
450;CATANDUVA;6221
451;CATENDE;31
452;CATU;3
453;CATUJI;31
454;CATURITE;33
455;CAUCAIA;26636162232621322227713813
456;CAXIAS;22311
457;CAXIAS DO SUL;226216
458;CEARA-MIRIM;1121
459;CEDRAL;233
460;CENTRO DO GUILHERME;3
461;CENTRO NOVO DO MARANHAO;62
462;CEREJEIRAS;1
463;CERRO LARGO;2
464;CHA DE ALEGRIA;3
465;CHA GRANDE;3
466;CHAPADA DOS GUIMARAES;1
467;CHAPADAO DO SUL;1
468;CHAPECO;212122326122
469;CHARQUEADA;6
470;CHARQUEADAS;6
471;CHAVAL;2
472;CHAVANTES;6
473;CHAVES;6266161
474;CHIADOR;2
475;CHOPINZINHO;1
476;CHORROCHO;33
477;CIANORTE;366
478;CICERO DANTAS;1
479;CIDADE OCIDENTAL;112
480;CLAUDIA;6
481;COARI;636626613636626162627236363323626266266276722233
482;COCAL DE TELHA;3
483;COCALZINHO DE GOIAS;6
484;CODAJAS;21102
485;CODO;126
486;COELHO NETO;3
487;COIMBRA;6
488;COIVARAS;3
489;COLATINA;626
490;COLIDER;22
491;COLNIZA;2
492;COLOMBO;238221262122216
493;COLONIA DO PIAUI;27382381
494;COLUNA;6
495;CONCEICAO;2
496;CONCEICAO DA BARRA;2
497;CONCEICAO DA BARRA DE MINAS;6
498;CONCEICAO DA FEIRA;2
499;CONCEICAO DO ALMEIDA;38
500;CONCEICAO DO ARAGUAIA;2
501;CONCEICAO DO CANINDE;3838383877738777738
502;CONCEICAO DO MATO DENTRO;333
503;CONCEICAO DO TOCANTINS;2
504;CONCORDIA;2
505;CONCORDIA DO PARA;6162
506;CONDADO;13
507;CONEGO MARINHO;6
508;CONSELHEIRO LAFAIETE;313313123
509;CONTAGEM;3523321123383833103216223121376122381
510;CORDISBURGO;38
511;COREMAS;22
512;COROATA;22
513;CORONEL DOMINGOS SOARES;2
514;CORONEL FABRICIANO;1
515;CORONEL JOAO PESSOA;6
516;CORONEL JOAO SA;2
517;CORONEL SAPUCAIA;12
518;CORONEL VIVIDA;106
519;CORRENTINA;6
520;CORURIPE;2
521;COSMORAMA;2
522;COSTA RICA;2
523;COTEGIPE;2
524;COTIA;666262666666666
525;COUTO DE MAGALHAES DE MINAS;33
526;COXIM;62237
527;CRATO;62
528;CRAVOLANDIA;6
529;CRICIUMA;1222116
530;CRISOPOLIS;1210227721010
531;CRISTAIS PAULISTA;2
532;CRISTALANDIA DO PIAUI;23811
533;CRISTALINA;2
534;CRISTINO CASTRO;1
535;CRUZ ALTA;36
536;CRUZ DAS ALMAS;23838
537;CRUZ DO ESPIRITO SANTO;26
538;CRUZEIRO;66262
539;CRUZEIRO DO OESTE;3
540;CRUZEIRO DO SUL;12
541;CRUZILIA;6
542;CUBATAO;6662626
543;CUBATI;2
544;CUIABA;3212322622
545;CUITE;73
546;CUMARU;38
547;CURIMATA;8
548;CURIONOPOLIS;1
549;CURITIBA;666616121622616611166266222626626266622166666266621622612271616161666262666116
550;CURITIBANOS;1
551;CURRAIS NOVOS;2
552;CURUA;6
553;CURVELO;3
554;CUSTODIA;2366236
555;CUTIAS;2
556;DAMIAO;3
557;DELMIRO GOUVEIA;36
558;DELTA;2
559;DEMERVAL LOBAO;6
560;DEZESSEIS DE NOVEMBRO;6
561;DIADEMA;662622366166166616666626666162666666227
562;DIAMANTE;66
563;DIAMANTINA;238
564;DIAMANTINO;22
565;DIANOPOLIS;2
566;DIAS D'AVILA;3
567;DIRCEU ARCOVERDE;63
568;DIVINO;1232
569;DIVINOPOLIS DO TOCANTINS;2
